titulo,link,preco
Samsung Galaxy Z Fold5 5G Dual SIM 1 TB preto 12 GB RAM,https://www.mercadolivre.com.br/samsung-galaxy-z-fold5-5g-dual-sim-1-tb-preto-12-gb-ram/p/MLB27009551#searchVariation%3DMLB27009551%26position%3D2%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D9b52fe26-d220-4fd2-b1bc-2f07ca3740f6,9.999
Samsung Galaxy Z Fold4 5G 256 GB Preto 12 GB RAM,https://www.mercadolivre.com.br/samsung-galaxy-z-fold4-5g-256-gb-preto-12-gb-ram/p/MLB19580211#searchVariation%3DMLB19580211%26position%3D3%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D9b52fe26-d220-4fd2-b1bc-2f07ca3740f6,8.916
"Celular Samsung Galaxy Z Fold6 5g, 512gb, 12gb Ram, Tela 7.6  + 6.3 , Câm. Traseira 50+12+10mp, Frontal 10+4mp Cinza",https://www.mercadolivre.com.br/celular-samsung-galaxy-z-fold6-5g-512gb-12gb-ram-tela-76-63-cm-traseira-501210mp-frontal-104mp-cinza/p/MLB38198331#searchVariation%3DMLB38198331%26position%3D4%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D9b52fe26-d220-4fd2-b1bc-2f07ca3740f6,13.799
Samsung Galaxy Z Fold4 5G Dual SIM 256 GB grafite 12 GB RAM,https://www.mercadolivre.com.br/samsung-galaxy-z-fold4-5g-dual-sim-256-gb-grafite-12-gb-ram/p/MLB19580108#searchVariation%3DMLB19580108%26position%3D5%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D9b52fe26-d220-4fd2-b1bc-2f07ca3740f6,8.999
"Smartphone Samsung Galaxy Z Fold5 5g, 1tb, 12gb Ram, Tela Infinita De 7.6  Preto",https://www.mercadolivre.com.br/smartphone-samsung-galaxy-z-fold5-5g-1tb-12gb-ram-tela-infinita-de-76-preto/p/MLB25171739#searchVariation%3DMLB25171739%26position%3D6%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D9b52fe26-d220-4fd2-b1bc-2f07ca3740f6,9.999
Samsung Galaxy Z Fold4 5g Dobrável 256gb - Excelente,https://produto.mercadolivre.com.br/MLB-3296859174-samsung-galaxy-z-fold4-5g-dobravel-256gb-excelente-_JM?searchVariation=177113640513#searchVariation%3D177113640513%26position%3D6%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D9b52fe26-d220-4fd2-b1bc-2f07ca3740f6,5.599
Samsung Galaxy Z Fold4 5g Dobrável 256gb Creme - Excelente,https://produto.mercadolivre.com.br/MLB-3641204060-samsung-galaxy-z-fold4-5g-dobravel-256gb-creme-excelente-_JM?searchVariation=177735333412#searchVariation%3D177735333412%26position%3D7%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D9b52fe26-d220-4fd2-b1bc-2f07ca3740f6,5.599
Celular Galaxy Z Fold4 5g 512gb Grafite Mt Bom Trocafone,https://produto.mercadolivre.com.br/MLB-4084068858-celular-galaxy-z-fold4-5g-512gb-grafite-mt-bom-trocafone-_JM#position%3D8%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D9b52fe26-d220-4fd2-b1bc-2f07ca3740f6,4.349
Celular Galaxy Z Fold4 5g 512gb Grafite Mt Bom Trocafone,https://produto.mercadolivre.com.br/MLB-4084027952-celular-galaxy-z-fold4-5g-512gb-grafite-mt-bom-trocafone-_JM#position%3D9%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D9b52fe26-d220-4fd2-b1bc-2f07ca3740f6,4.349
Samsung Galaxy Z Fold 4 Dual Sim 512gb 12gb Ram,https://produto.mercadolivre.com.br/MLB-3398601773-samsung-galaxy-z-fold-4-dual-sim-512gb-12gb-ram-_JM?searchVariation=178373715524#searchVariation%3D178373715524%26position%3D10%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D9b52fe26-d220-4fd2-b1bc-2f07ca3740f6,7.800
Samsung Z Fold3 512gb 5g Verde-escuro (1 Tela Com Defeito),https://produto.mercadolivre.com.br/MLB-3686650481-samsung-z-fold3-512gb-5g-verde-escuro-1-tela-com-defeito-_JM?searchVariation=182725889197#searchVariation%3D182725889197%26position%3D11%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D9b52fe26-d220-4fd2-b1bc-2f07ca3740f6,1.999
Samsung Galaxy Z Fold3 5g 256gb Snapdragon 888 Prata,https://produto.mercadolivre.com.br/MLB-4787261298-samsung-galaxy-z-fold3-5g-256gb-snapdragon-888-prata-_JM#position%3D12%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D9b52fe26-d220-4fd2-b1bc-2f07ca3740f6,3.199
Samsung Galaxy Z Fold5 5g 512 Gb Semi Novo Preto,https://produto.mercadolivre.com.br/MLB-3643617279-samsung-galaxy-z-fold5-5g-512-gb-semi-novo-preto-_JM?searchVariation=182325136241#searchVariation%3D182325136241%26position%3D13%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D9b52fe26-d220-4fd2-b1bc-2f07ca3740f6,7.800
"Samsung Galaxy Z Fold 5 5g, 512gb, 12gb Ram, Preto",https://produto.mercadolivre.com.br/MLB-4105195842-samsung-galaxy-z-fold-5-5g-512gb-12gb-ram-preto-_JM?searchVariation=178928831486#searchVariation%3D178928831486%26position%3D14%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D9b52fe26-d220-4fd2-b1bc-2f07ca3740f6,8.000
Samsung Galaxy Z Fold4 5g 256gb Snapdragon 8 Gen1 Preto,https://produto.mercadolivre.com.br/MLB-3746703579-samsung-galaxy-z-fold4-5g-256gb-snapdragon-8-gen1-preto-_JM#position%3D15%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D9b52fe26-d220-4fd2-b1bc-2f07ca3740f6,3.419
Samsung Galaxy Z Fold3 5g 256gb Snapdragon 888 Prata,https://produto.mercadolivre.com.br/MLB-4787338498-samsung-galaxy-z-fold3-5g-256gb-snapdragon-888-prata-_JM#position%3D16%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D9b52fe26-d220-4fd2-b1bc-2f07ca3740f6,3.199
Samsung Galaxy Z Fold4 Dual Sim 256 Gb Grafite 12 Gb Ram,https://produto.mercadolivre.com.br/MLB-4102310742-samsung-galaxy-z-fold4-dual-sim-256-gb-grafite-12-gb-ram-_JM?searchVariation=178918390078#searchVariation%3D178918390078%26position%3D17%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D9b52fe26-d220-4fd2-b1bc-2f07ca3740f6,8.123
Samsung Galaxy Z Fold4 5g 512gb E 12gb Ram Grafite Com Capa,https://produto.mercadolivre.com.br/MLB-3585883477-samsung-galaxy-z-fold4-5g-512gb-e-12gb-ram-grafite-com-capa-_JM?searchVariation=181639837647#searchVariation%3D181639837647%26position%3D18%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D9b52fe26-d220-4fd2-b1bc-2f07ca3740f6,6.500
Samsung Galaxy Z Fold3 5G 5G Dual SIM 512 GB preto 12 GB RAM,https://www.mercadolivre.com.br/samsung-galaxy-z-fold3-5g-5g-dual-sim-512-gb-preto-12-gb-ram/p/MLB18514376#searchVariation%3DMLB18514376%26position%3D14%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D9b52fe26-d220-4fd2-b1bc-2f07ca3740f6,7.000
